FirstName,FamilyName,ClubName,Race,DateOfBirth,Gender,DateOfMedicalExamination
Bence,Kovács,Budapest SC,Senior Male Individual Kata,1995-04-12,Male,2024-01-15
Dóra,Nagy,Debrecen Karate SE,Senior Female Individual Kata,1998-10-22,Female,2023-11-20
Márk,Horváth,Gyõri Dojó,U21 Male Individual Kata,2005-03-04,Male,2024-02-01
Zoltán,Varga,Szeged Fit,U21 Female Individual Kata,2006-07-18,Female,2024-01-10
Eszter,Kiss,Budapest SC,Junior Female Individual Kata,2008-12-30,Female,2023-12-15
Tamás,Tóth,Pécsi Küzdõsport Egyesület,Junior Male Individual Kata,2007-04-05,Male,2024-03-01
Gábor,Szabó,Debrecen Karate SE,Cadet Male Individual Kata,2010-08-14,Male,2024-01-20
Annamária,Molnár,Miskolci Harcosok,Cadet Female Individual Kata,2009-11-02,Female,2024-02-12
Péter,Farkas,Budapest SC,U14 Male Individual Kata,2012-06-25,Male,2023-10-28
Krisztina,Balogh,Gyõri Dojó,U14 Female Individual Kata,2013-01-12,Female,2024-01-05
Attila,Papp,Szeged Fit,Senior Male Kunite -84 kg,1998-09-30,Male,2024-02-20
András,Takács,Budapest SC,U21 Male Kunite -84 kg,2003-02-14,Male,2024-01-11
Balázs,Juhász,Pécsi Küzdõsport Egyesület,Junior Male Kunite -76 kg,2007-05-20,Male,2024-03-05
László,Mészáros,Miskolci Harcosok,Cadet Male Kunite -52 kg,2009-12-08,Male,2024-01-18
Zsuzsanna,Simon,Debrecen Karate SE,U14 Female Kunite -42 kg,2012-07-15,Female,2024-02-15
István,Kocsis,Gyõri Dojó,Senior Male Kunite -60 kg,1994-11-23,Male,2024-01-30
Roland,Rácz,Szeged Fit,U21 Male Kunite -75 kg,2005-03-17,Male,2023-12-12
Gergely,Fekete,Budapest SC,Junior Male Kunite -55 kg,2008-10-10,Male,2024-02-05
Lilla,László,Miskolci Harcosok,Cadet Female Kunite -47 kg,2010-01-25,Female,2024-01-22
Sándor,Fehér,Debrecen Karate SE,U14 Male Kunite -52 kg,2013-04-14,Male,2023-11-15
Ádám,Gál,Pécsi Küzdõsport Egyesület,Senior Male Kunite -67 kg,1990-08-09,Male,2024-02-18
Béla,Vörös,Gyõri Dojó,U21 Male Kunite +84 kg,2004-05-02,Male,2024-01-25
Viktória,Szilágyi,Budapest SC,Junior Female Kunite -48 kg,2007-12-12,Female,2024-03-02
